İlçe,Metrekare (Net),Oda Sayısı,Bulunduğu Kat,Kat Sayısı,Balkon Durumu,Eşya Durumu,Kullanım Durumu,Sitede Olma Durumu,Kimden,Salon Sayısı,Bina Yaşı Sınıfı,Isınma Sınıfı,Fiyat (TL)
3,145.0,3.0,6,8,1,0,1,1,2,1.0,5,5,5500000.0
9,70.0,2.0,1,5,1,0,2,0,2,1.0,5,6,2895000.0
9,120.0,3.0,4,6,1,0,2,0,2,1.0,8,6,2750000.0
3,110.0,2.0,2,4,1,0,0,0,2,1.0,0,6,1999000.0
1,100.0,3.0,3,5,1,0,0,0,2,1.0,0,6,6600000.0
8,100.0,3.0,1,9,1,0,1,0,2,1.0,9,6,4500000.0
5,95.0,2.0,1,5,0,0,0,0,2,1.0,4,6,1269000.0
3,150.0,4.0,1,5,0,0,0,0,2,1.0,5,6,890000.0
3,137.0,3.0,2,5,1,0,0,0,2,1.0,0,6,2799000.0
5,135.0,3.0,19,25,1,0,0,1,2,1.0,4,6,2099000.0
3,110.0,2.0,1,3,1,0,0,0,2,1.0,0,6,1280000.0
3,105.0,3.0,3,9,1,0,0,1,2,1.0,0,5,4950000.0
3,89.0,3.0,2,9,1,0,0,1,2,1.0,0,5,4950000.0
3,105.0,3.0,1,9,1,0,0,1,2,1.0,0,5,4990000.0
17,75.0,2.0,1,6,0,0,2,0,2,1.0,5,6,1850000.0
3,125.0,2.0,2,4,1,0,0,1,2,1.0,0,6,2994999.0
11,75.0,2.0,1,4,1,0,2,0,2,1.0,5,6,3650000.0
9,54.0,1.0,8,10,0,1,0,1,2,1.0,4,5,2650000.0
3,180.0,4.0,4,4,1,0,0,1,2,2.0,0,6,4199000.0
11,62.0,1.0,1,5,0,0,0,0,2,1.0,5,6,1675000.0
9,85.0,2.0,7,27,1,0,0,1,2,1.0,0,5,7350000.0
9,51.0,1.0,5,11,1,0,0,0,0,1.0,0,5,2250000.0
9,135.0,3.0,6,12,1,0,1,0,2,1.0,8,6,2900000.0
9,80.0,2.0,1,4,1,0,0,0,2,1.0,9,4,1550000.0
9,115.0,3.0,6,9,1,0,2,1,2,1.0,9,6,2089000.0
9,70.0,2.0,1,3,1,0,2,0,2,1.0,5,6,2198000.0
9,100.0,3.0,3,5,1,0,2,0,2,1.0,8,6,1745000.0
9,80.0,2.0,2,3,1,0,0,0,2,1.0,6,6,2550000.0
9,55.0,1.0,6,15,0,1,2,1,2,1.0,5,5,2550000.0
9,105.0,3.0,7,8,1,0,1,0,2,1.0,10,6,2800000.0
9,165.0,4.0,22,22,1,0,0,1,2,2.0,0,5,7750000.0
9,120.0,3.0,3,5,1,0,2,1,2,1.0,6,6,3600000.0
9,90.0,3.0,1,4,1,0,0,0,2,1.0,5,6,3390000.0
9,68.0,1.0,6,15,1,0,0,1,2,1.0,5,5,3590000.0
9,75.0,2.0,1,4,0,0,0,0,2,1.0,0,6,2500000.0
9,85.0,2.0,3,10,1,0,0,0,2,1.0,5,6,2300000.0
9,120.0,3.0,4,6,1,0,1,1,2,1.0,9,6,3590000.0
1,100.0,3.0,3,3,1,0,2,1,2,1.0,10,6,8250000.0
1,120.0,3.0,1,5,1,0,2,0,2,1.0,8,6,6250000.0
1,230.0,4.0,-1,5,1,0,2,0,2,1.0,6,6,7750000.0
1,90.0,2.0,1,4,1,0,2,0,2,1.0,5,6,6800000.0
1,75.0,2.0,2,4,0,0,2,0,2,1.0,10,6,1650000.0
1,250.0,5.0,5,5,1,0,1,1,2,1.0,5,5,14500000.0
1,140.0,3.0,1,5,1,0,2,0,2,1.0,2,6,17000000.0
1,75.0,2.0,1,5,1,0,2,0,2,1.0,9,6,5500000.0
1,200.0,4.0,2,3,1,0,2,0,2,1.0,6,6,15100000.0
1,70.0,1.0,3,4,1,0,2,0,2,1.0,10,6,2300000.0
1,163.0,3.0,5,5,1,0,0,1,2,1.0,0,5,21000000.0
1,140.0,3.0,1,2,1,0,1,0,2,1.0,6,6,11500000.0
1,69.0,1.0,1,5,1,0,0,0,2,1.0,3,6,6200000.0
1,180.0,3.0,5,7,1,0,1,1,2,1.0,5,5,19250000.0
1,29.0,1.0,8,17,1,0,1,1,1,1.0,1,5,9950000.0
1,90.0,2.0,2,5,1,0,2,0,2,1.0,6,6,5720000.0
1,80.0,2.0,2,8,1,0,2,1,2,1.0,5,5,5550000.0
1,120.0,3.0,4,5,1,0,1,0,2,2.0,7,6,5600000.0
1,85.0,2.0,2,4,1,0,2,0,2,1.0,4,6,6500000.0
4,110.0,2.0,8,8,1,1,0,1,1,1.0,6,5,3450000.0
4,85.0,2.0,2,4,1,0,2,1,2,1.0,4,6,3199000.0
4,200.0,3.0,1,3,1,0,0,1,2,2.0,8,6,3550000.0
4,90.0,2.0,2,5,1,0,0,1,2,1.0,0,6,5875000.0
4,200.0,3.0,3,3,1,0,0,0,2,2.0,0,6,3450000.0
4,170.0,3.5,6,17,1,1,0,1,2,1.0,5,6,8250000.0
4,370.0,5.0,4,4,1,1,0,1,2,2.0,0,6,25000000.0
4,120.0,3.0,3,4,1,0,2,0,2,1.0,4,6,2600000.0
4,90.0,2.0,-1,5,1,0,1,0,2,1.0,5,6,1950000.0
4,90.0,1.0,1,5,1,0,0,1,2,1.0,3,6,1850000.0
4,105.0,3.0,2,4,0,0,0,0,2,1.0,9,2,1800000.0
4,140.0,3.0,6,6,1,1,0,1,2,1.0,9,6,3500000.0
2,90.0,2.0,6,7,1,0,0,1,2,1.0,10,6,2200000.0
2,80.0,2.0,2,4,1,0,2,0,1,1.0,5,6,2350000.0
2,130.0,3.0,2,4,1,0,1,0,2,1.0,10,6,3150000.0
2,40.0,1.0,12,15,0,0,0,1,2,0.0,0,5,1750000.0
2,180.0,5.0,3,3,1,0,1,0,2,2.0,6,6,4250000.0
2,110.0,3.0,2,3,0,0,1,0,2,1.0,7,6,3000000.0
2,50.0,1.0,6,15,0,1,0,1,2,1.0,5,5,2650000.0
2,120.0,3.0,3,3,1,0,1,0,1,1.0,5,6,2950000.0
2,85.0,2.0,1,1,1,0,0,0,2,1.0,5,6,2650000.0
2,140.0,4.0,3,3,1,0,1,0,2,1.0,5,6,2700000.0
2,150.0,3.0,4,12,1,0,1,1,2,1.0,5,5,5650000.0
2,100.0,3.0,12,13,0,0,0,1,2,1.0,0,6,4750000.0
2,85.0,2.0,1,4,1,0,1,0,2,1.0,9,6,1200000.0
2,110.0,3.0,11,13,1,0,0,1,2,1.0,0,6,3445000.0
2,156.0,4.0,2,6,1,0,2,1,2,1.0,5,5,8000000.0
2,102.0,2.0,5,6,1,0,1,0,1,1.0,8,6,1300000.0
2,130.0,3.0,3,16,1,0,0,1,2,1.0,5,5,6000000.0
10,100.0,2.0,1,3,0,0,2,0,2,1.0,6,6,4500000.0
10,70.0,2.0,9,13,1,0,2,0,2,1.0,1,6,4250000.0
10,65.0,2.0,5,5,1,0,0,0,2,1.0,0,6,4600000.0
10,80.0,2.0,1,6,1,0,0,0,2,1.0,0,4,5250000.0
10,54.0,1.0,12,14,1,0,0,1,2,1.0,0,5,5500000.0
10,70.0,2.0,4,7,1,0,0,0,2,1.0,0,5,4150000.0
10,90.0,3.0,9,12,0,0,0,1,2,1.0,7,6,3800000.0
10,55.0,1.0,5,6,0,1,0,0,1,1.0,5,6,1750000.0
10,55.0,1.0,5,12,1,0,2,1,2,1.0,4,5,3500000.0
10,149.0,3.0,7,10,1,0,2,1,2,1.0,6,6,10400000.0
10,90.0,2.0,4,11,0,0,2,1,2,1.0,5,5,3250000.0
10,85.0,2.0,2,4,1,0,2,0,1,1.0,9,6,1975000.0
10,70.0,2.0,3,14,0,0,2,1,2,1.0,2,6,3850000.0
10,140.0,3.0,2,5,1,0,2,0,2,1.0,8,6,4100000.0
10,80.0,2.0,3,5,1,0,1,0,1,1.0,5,6,4200000.0
10,220.0,5.0,4,6,1,0,0,0,2,1.0,5,6,4000000.0
10,150.0,4.0,5,5,1,0,1,0,2,2.0,4,6,4350000.0
12,103.0,2.0,2,9,1,0,0,1,2,1.0,3,5,13500000.0
12,65.0,1.0,1,9,1,0,0,1,2,1.0,3,5,6050000.0
12,65.0,1.0,6,12,1,0,2,1,2,1.0,5,5,8750000.0
12,75.0,2.0,1,4,0,0,2,0,2,1.0,9,6,3900000.0
12,149.0,3.0,5,19,1,0,0,1,2,1.0,3,5,12460000.0
12,62.0,1.0,1,4,0,0,0,1,2,1.0,0,6,7850000.0
12,135.0,3.0,11,20,1,1,0,1,2,1.0,4,5,19300000.0
7,70.0,2.0,2,4,1,0,1,0,2,1.0,10,6,2100000.0
7,85.0,2.0,1,5,0,0,0,0,2,1.0,7,6,2250000.0
7,80.0,3.0,3,6,0,0,2,0,2,1.0,9,6,2170000.0
7,120.0,3.0,4,4,1,0,2,0,2,1.0,10,6,2200000.0
7,75.0,2.0,4,6,1,0,1,0,2,1.0,7,6,2625000.0
7,85.0,2.0,3,4,1,0,0,0,2,1.0,10,6,2950000.0
7,65.0,2.0,3,3,1,0,0,0,2,1.0,10,6,1600000.0
7,65.0,1.0,3,4,1,0,2,0,2,1.0,10,6,1600000.0
7,75.0,2.0,1,4,0,0,2,0,2,1.0,10,6,1900000.0
7,130.0,3.0,4,4,1,0,0,0,2,1.0,9,6,3500000.0
7,120.0,3.0,1,4,1,0,0,0,2,1.0,10,6,2900000.0
7,200.0,3.0,4,5,0,0,2,0,2,2.0,5,6,6250000.0
7,100.0,2.0,4,4,0,0,2,0,2,1.0,10,6,2750000.0
7,85.0,2.0,1,5,0,0,0,0,2,1.0,10,6,1550000.0
7,70.0,2.0,1,5,1,1,0,0,2,1.0,10,2,1550000.0
7,105.0,2.0,2,6,1,0,2,0,2,1.0,9,6,3250000.0
7,115.0,3.0,1,5,1,0,0,0,2,1.0,7,6,3200000.0
7,45.0,1.0,1,5,1,0,0,0,2,1.0,10,6,2500000.0
7,65.0,2.0,1,5,1,0,1,0,2,1.0,10,6,1820000.0
7,110.0,2.0,2,5,0,0,2,0,2,1.0,10,4,2650000.0
14,60.0,2.0,3,6,1,0,0,0,0,1.0,0,6,1850000.0
14,75.0,2.0,2,6,1,0,0,0,2,1.0,0,6,1750000.0
14,120.0,3.0,2,3,1,0,0,0,2,1.0,0,6,2010000.0
14,95.0,3.0,1,5,1,0,0,0,2,1.0,0,6,2800000.0
14,75.0,2.0,1,5,1,0,0,0,2,1.0,0,6,1700000.0
14,130.0,3.0,1,4,0,0,2,0,2,1.0,4,6,1610000.0
14,90.0,2.0,2,5,1,0,0,0,2,1.0,0,6,2500000.0
14,80.0,2.0,4,5,1,0,0,0,2,1.0,0,6,2300000.0
14,85.0,2.0,1,5,1,0,0,0,2,1.0,0,6,1880000.0
14,75.0,2.0,2,11,1,0,0,1,2,1.0,0,4,6707000.0
14,85.0,2.0,2,4,1,0,0,0,2,1.0,0,6,1800000.0
14,105.0,3.0,1,4,1,0,0,0,2,1.0,3,6,2345000.0
14,80.0,2.0,4,5,1,0,0,0,2,1.0,0,6,1920000.0
14,58.0,1.0,6,7,0,0,2,1,2,1.0,5,4,2550000.0
14,85.0,2.0,2,5,1,0,2,0,1,1.0,0,6,1850000.0
14,70.0,2.0,2,4,1,0,0,0,2,1.0,0,6,1850000.0
13,58.0,2.0,1,18,0,1,2,1,1,1.0,5,1,1750000.0
13,100.0,2.0,4,4,1,0,1,0,0,1.0,9,6,1225000.0
13,80.0,2.0,1,4,1,0,0,0,2,1.0,9,6,1530000.0
13,120.0,3.0,1,4,1,0,0,0,2,1.0,6,6,1775000.0
13,75.0,2.0,5,5,1,0,0,1,2,1.0,9,6,1350000.0
13,90.0,2.0,3,5,1,0,0,1,2,1.0,6,6,2100000.0
13,68.0,2.0,3,4,1,0,0,0,2,1.0,0,6,1650000.0
13,125.0,3.0,6,7,1,0,0,1,2,1.0,4,4,2650000.0
13,250.0,4.0,1,2,1,1,0,1,2,1.0,10,6,12000000.0
13,125.0,3.0,5,5,1,0,2,1,2,1.0,5,6,3500000.0
13,70.0,2.0,1,2,1,1,1,1,1,1.0,9,6,4250000.0
13,85.0,2.0,1,4,1,0,0,0,2,1.0,1,6,2700000.0
6,140.0,4.0,4,4,1,0,1,0,2,1.0,7,6,4550000.0
6,90.0,2.0,1,8,1,0,2,1,2,1.0,5,5,3050000.0
6,95.0,2.0,1,5,1,0,1,0,2,1.0,5,6,2050000.0
6,100.0,3.0,5,5,1,0,2,0,2,1.0,6,6,5100000.0
6,65.0,1.5,-2,4,1,0,1,0,2,1.0,5,6,1550000.0
6,135.0,2.0,9,10,1,1,0,1,2,1.0,3,5,4750000.0
6,140.0,4.0,5,5,1,0,2,0,1,1.0,0,6,4250000.0
6,220.0,4.0,1,4,0,0,1,1,2,1.0,7,6,21000000.0
6,67.0,2.0,1,2,1,0,0,1,2,1.0,0,6,13000000.0
6,85.0,2.0,1,4,0,0,0,0,1,1.0,7,6,5000000.0
6,150.0,3.0,1,3,1,0,1,1,2,1.0,6,6,9000000.0
6,65.0,2.0,1,3,0,0,0,0,1,1.0,5,6,1600000.0
6,96.0,2.0,3,6,1,0,0,1,2,1.0,6,5,7750000.0
6,95.0,2.0,1,1,0,0,1,0,1,1.0,7,6,1850000.0
6,90.0,2.0,3,4,1,0,0,0,2,1.0,4,6,2950000.0
6,40.0,1.0,2,12,0,0,2,1,2,1.0,4,5,2600000.0
18,90.0,1.0,16,21,1,0,0,0,2,1.0,0,3,23750000.0
18,85.0,2.0,2,4,1,0,1,0,2,1.0,8,6,2400000.0
18,80.0,2.0,2,4,1,0,2,0,2,1.0,10,6,3500000.0
18,75.0,2.0,1,5,0,0,1,1,2,1.0,4,5,4950000.0
18,140.0,3.0,1,4,1,0,2,0,2,1.0,8,6,1750000.0
18,85.0,2.0,2,5,1,0,0,0,2,1.0,0,6,2650000.0
18,80.0,2.0,1,5,0,0,2,0,2,1.0,7,6,1965000.0
18,60.0,1.0,4,4,1,0,2,0,2,1.0,9,6,2500000.0
18,45.0,1.0,2,6,0,0,2,1,2,1.0,5,5,2650000.0
18,90.0,2.0,4,4,1,0,2,0,2,1.0,10,6,3700000.0
18,147.0,2.0,8,8,0,0,2,1,2,1.0,6,5,11275000.0
18,120.0,3.0,-3,6,1,0,2,0,2,1.0,9,6,3200000.0
18,85.0,2.0,-1,5,0,0,0,0,2,1.0,2,6,1800000.0
18,85.0,2.0,3,7,1,0,0,0,0,1.0,7,6,3000000.0
18,117.0,3.0,2,5,1,0,2,0,2,1.0,10,6,3950000.0
16,40.0,1.0,2,17,0,0,1,1,2,1.0,4,5,3350000.0
16,100.0,3.0,9,19,0,0,0,1,2,1.0,8,6,5100000.0
16,150.0,3.0,4,10,1,0,0,1,2,1.0,5,5,14000000.0
16,114.0,3.0,3,12,1,1,1,1,2,1.0,6,6,6500000.0
16,90.0,2.0,2,4,1,0,2,0,2,1.0,9,6,2250000.0
16,135.0,3.0,1,14,1,0,2,1,2,1.0,5,6,9500000.0
16,95.0,2.0,1,5,1,0,0,0,2,1.0,9,6,1850000.0
16,85.0,2.0,-1,5,1,0,2,0,2,1.0,9,1,1275000.0
16,133.0,3.0,5,12,1,0,1,1,2,1.0,3,3,32250000.0
16,150.0,3.0,12,16,1,0,0,1,2,1.0,1,3,27000000.0
16,65.0,2.0,15,17,0,0,2,1,2,1.0,4,5,4250000.0
16,85.0,2.0,1,14,1,0,2,1,2,1.0,5,5,3390000.0
16,75.0,2.0,2,4,1,0,2,0,2,1.0,4,6,3000000.0
16,268.0,4.5,6,16,1,0,1,1,2,1.0,1,3,55500000.0
16,75.0,2.0,1,3,0,0,2,0,2,1.0,9,6,1550000.0
16,180.0,2.5,21,25,1,0,2,1,2,1.0,5,3,22980000.0
16,180.0,4.0,4,5,1,0,2,0,2,1.0,10,6,3600000.0
16,105.0,3.0,7,11,1,0,1,1,2,1.0,4,5,12750000.0
16,60.0,2.0,1,4,0,0,2,0,2,1.0,5,6,2500000.0
15,87.0,2.0,10,11,1,0,2,1,2,1.0,5,5,2975000.0
15,100.0,2.0,3,3,1,0,1,0,2,1.0,8,6,1300000.0
15,90.0,2.0,1,3,0,0,2,0,2,1.0,8,6,900000.0
15,90.0,3.0,2,3,1,0,2,1,2,1.0,8,6,3650000.0
15,80.0,2.0,1,4,1,0,2,1,2,1.0,5,6,3490000.0
15,80.0,2.0,3,5,1,0,0,0,2,1.0,0,6,5500000.0
15,100.0,2.0,1,4,1,0,1,0,2,1.0,4,6,3600000.0
15,74.0,2.0,6,12,1,0,0,1,2,1.0,5,5,2375000.0
15,115.0,2.0,2,6,1,0,1,1,2,1.0,4,6,3825000.0
15,110.0,2.0,3,5,1,0,2,0,1,1.0,8,6,1500000.0
15,46.0,1.0,12,18,0,0,2,1,2,1.0,5,5,2050000.0
15,87.0,3.0,5,5,1,0,0,1,2,1.0,0,6,3500000.0
15,95.0,2.0,1,6,0,0,0,1,2,1.0,4,5,3200000.0
15,95.0,2.0,2,5,1,0,0,1,2,1.0,0,6,7500000.0
15,100.0,3.0,7,10,1,0,1,0,2,1.0,1,6,3250000.0
15,58.0,1.0,1,11,1,0,0,1,2,1.0,5,5,2200000.0
15,48.0,1.0,3,13,1,1,2,1,2,1.0,5,6,1695000.0
0,110.0,2.0,18,24,0,0,0,1,2,1.0,7,4,7000000.0
0,145.0,3.0,10,24,1,0,2,1,2,1.0,5,5,13999000.0
0,72.0,1.0,12,18,0,0,0,1,2,1.0,5,5,4200000.0
0,108.0,3.0,3,7,1,0,1,0,2,1.0,8,6,4520000.0
0,120.0,3.0,1,8,1,0,1,0,2,1.0,6,6,4600000.0
0,55.0,2.0,1,4,0,0,2,0,1,1.0,5,6,2500000.0
0,180.0,4.0,5,5,1,1,0,0,2,2.0,5,6,6200000.0
0,85.0,2.0,8,10,1,0,0,0,2,1.0,3,4,3100000.0
0,50.0,1.0,18,20,0,0,2,1,2,1.0,5,6,4200000.0
0,68.0,2.0,1,7,0,0,2,1,2,1.0,2,5,3450000.0
0,100.0,3.0,1,3,1,0,1,0,2,2.0,5,6,2850000.0
0,100.0,3.0,4,8,1,0,0,1,1,1.0,9,6,4750000.0
0,67.0,2.0,5,12,1,1,2,0,2,1.0,5,5,2590000.0
17,55.0,1.0,2,8,1,0,2,1,2,1.0,5,6,3350000.0
17,130.0,3.0,14,16,1,0,2,0,2,1.0,5,6,6750000.0
17,70.0,2.0,-1,4,1,0,0,0,2,1.0,6,6,2415000.0
17,145.0,4.0,3,3,1,0,2,0,2,1.0,5,6,3900000.0
17,100.0,3.0,1,4,1,0,2,0,2,1.0,9,6,3950000.0
17,80.0,2.0,3,4,0,0,2,0,2,1.0,6,6,2730000.0
17,120.0,3.0,7,10,1,0,2,1,2,1.0,6,6,4250000.0
17,180.0,4.0,4,4,1,0,2,0,2,1.0,6,6,3500000.0
17,110.0,3.0,4,5,1,0,2,1,2,1.0,8,6,4150000.0
17,75.0,2.0,1,4,0,0,0,0,2,1.0,7,6,1450000.0
17,110.0,3.0,5,9,1,0,1,0,2,1.0,8,6,2890000.0
17,50.0,1.0,1,4,0,0,0,0,2,1.0,0,6,2000000.0
17,85.0,2.0,3,4,1,0,0,0,2,1.0,0,6,3950000.0
17,85.0,2.0,8,9,1,0,0,1,2,1.0,0,5,4600000.0
17,95.0,3.0,1,4,0,0,0,0,2,1.0,6,6,3100000.0
17,80.0,2.0,3,4,1,0,0,0,2,1.0,6,6,2700000.0
